33.0,57.48
33.0,57.35
31.7,58.20
34.0,54.40
35.0,53.17
34.0,53.31
34.0,56.69
32.0,56.14
32.0,58.29
32.7,57.02
35.0,53.34
35.0,54.92
35.0,55.52
34.0,56.08
33.0,57.03
33.7,55.73
34.0,54.90
35.0,54.59
34.0,55.65
32.0,59.74
6.0,92.37
9.0,87.80
9.9,87.27
10.0,86.47
13.0,81.76
9.0,65.12
0.0,0.00
5.0,17.57
22.8,75.84
26.0,73.79
26.0,73.57
25.0,73.65
26.0,73.08
24.0,74.40
26.7,73.13
25.0,74.02
25.0,73.93
24.0,76.24
20.0,78.29
20.0,77.45
21.0,77.24
22.8,76.96
22.0,77.43
23.0,76.84
22.0,77.38
18.0,70.23
18.0,71.63
9.9,66.53
0.0,80.37
0.0,97.63
1.0,99.99
0.0,42.46
0.0,78.79
0.0,45.88
0.0,0.00
0.0,39.95
1.0,97.75
0.0,99.99
0.0,94.48
0.0,46.14
0.0,99.20
1.0,76.69
0.0,99.99
14.0,89.54
33.7,57.21
34.0,55.10
36.0,51.30
35.0,55.22
35.0,53.26
35.0,53.47
34.7,52.43
35.0,54.62
35.0,53.31
36.0,54.50
36.0,52.33
28.0,62.60
36.0,53.05
34.7,55.94
34.0,55.33
36.0,53.08
35.0,54.65
33.0,58.53
35.0,53.70
33.7,56.96
34.0,56.39
32.0,56.55
34.0,55.43
35.0,54.18
33.0,50.65
24.0,73.84
33.7,54.23
33.0,55.50
34.0,54.78
35.0,55.23
33.0,55.13
36.0,52.48
35.0,52.62
34.7,55.06
34.0,55.31
36.0,54.26
36.0,53.04
35.0,55.21
35.0,52.42
36.0,55.51
32.7,57.21
35.0,53.47
35.0,54.69
32.0,30.14
13.0,0.00
100.0,0.27
98.0,0.00
100.0,22.00
27.0,77.14
21.0,78.32
23.0,76.12
24.0,76.13
22.0,78.30
18.8,75.79
14.0,63.63
19.0,79.65
20.0,73.00
16.0,80.10
18.0,71.29
14.0,54.40
11.9,75.74
18.0,80.90
19.0,79.49
17.0,71.90
17.8,80.29
0.0,76.12
1.0,99.99
9.0,61.85
38.0,51.61
35.0,51.71
36.6,51.50
34.0,56.76
21.0,83.84
1.0,69.55
0.0,99.99
1.0,85.12
0.0,93.42
0.0,99.99
0.9,74.44
0.0,99.99
1.0,90.37
0.0,74.45
0.0,99.99
0.0,74.09
0.0,99.99
0.8,99.99
0.0,76.15
0.0,99.99
0.0,99.99
1.0,66.23
1.0,95.23
0.0,99.99
0.0,99.99
0.0,98.92
31.0,68.48
32.0,56.65
33.0,55.24
33.0,56.74
34.0,56.66
34.0,55.45
34.7,54.81
35.0,53.82
33.0,58.60
34.0,56.11
33.0,57.46
34.0,55.44
33.0,54.35
34.7,55.57
34.0,56.36
35.0,53.53
32.0,54.88
28.0,63.93
34.0,54.99
35.0,55.79
33.7,53.97
35.0,56.06
33.0,55.99
32.0,57.60
32.0,51.94
25.0,72.48
32.0,59.29
34.7,52.59
34.0,54.81
35.0,53.30
37.0,50.93
37.0,51.55
35.0,53.34
37.0,51.77
34.0,54.56
33.7,55.77
34.0,55.04
35.0,55.26
35.0,53.88
35.0,54.37
32.0,57.33
33.0,56.21
36.6,53.96
33.0,53.72
36.0,54.16
33.0,56.16
33.0,55.83
33.0,56.64
32.0,56.44
37.0,52.76
33.7,55.03
34.0,56.06
35.0,53.91
34.0,55.90
36.0,51.32
27.0,64.34
35.0,56.56
31.7,57.25
33.0,58.96
31.0,57.50
33.0,57.75
34.0,55.94
33.0,55.94
35.0,55.09
34.7,53.06
36.0,53.65
34.0,56.47
36.0,54.76
35.0,52.31
36.0,54.17
34.7,53.96
32.0,58.33
34.0,56.49
32.0,57.23
34.0,53.98
36.0,53.05
35.0,53.69
34.7,56.40
35.0,53.23
36.0,52.90
33.0,52.03
38.0,50.25
35.0,54.65
32.7,55.66
36.0,52.07
36.0,52.49
35.0,52.28
36.0,52.00
36.0,52.96
37.0,51.97
35.6,52.61
37.0,49.87
34.0,55.12
36.0,54.95
34.0,55.73
34.0,55.13
35.0,53.95
32.7,56.24
33.0,57.09
33.0,55.59
35.0,53.88
35.0,56.64
34.0,53.99
33.7,55.08
35.0,54.71
34.0,55.16
33.0,57.05
34.0,54.58
33.0,56.80
34.0,57.24
33.7,55.45
35.0,54.04
32.0,55.89
33.0,57.94
32.0,56.76
33.0,58.06
33.0,57.92
27.0,63.75
34.7,54.66
32.0,59.61
34.0,55.54
34.0,55.00
32.0,55.88
36.0,54.45
33.0,58.99
34.7,53.60
34.0,54.74
34.0,56.85
34.0,56.03
32.0,56.81
33.0,56.33
32.7,56.43
31.0,61.40
34.0,53.30
35.0,54.18
33.0,58.43
36.0,54.89
32.0,55.38
33.7,54.15
34.0,54.65
34.0,54.16
34.0,56.24
35.0,55.97
34.0,54.68
35.0,54.15
34.7,53.02
35.0,54.44
29.0,62.50
35.0,54.76
