32.7,55.60
33.0,57.86
33.0,57.29
33.0,57.11
32.0,57.20
34.0,55.00
33.0,57.11
33.7,54.09
36.0,54.13
39.0,48.96
27.0,42.78
36.0,71.43
36.0,52.76
37.0,52.56
36.0,52.72
35.6,51.02
35.0,54.70
36.0,53.34
31.0,58.78
27.0,65.33
4.0,7.36
78.0,0.18
99.0,0.00
99.0,0.00
99.0,0.00
85.0,13.43
46.0,49.55
50.0,11.50
63.0,0.00
98.0,0.00
99.0,1.41
42.0,40.36
87.0,6.65
87.0,0.94
60.0,37.14
21.0,36.69
88.1,1.68
45.0,46.19
43.7,15.31
40.6,48.63
13.4,1.44
0.0,99.99
1.0,77.97
0.0,99.99
0.0,82.97
0.0,99.99
1.0,99.99
0.0,33.03
1.0,39.05
0.0,61.24
1.0,94.31
0.0,91.35
0.0,98.27
1.0,99.99
0.0,86.19
1.0,99.99
0.0,99.92
0.0,75.78
34.0,85.40
32.7,56.54
35.0,52.05
36.0,52.25
29.0,43.14
1.0,67.46
0.0,97.75
0.0,99.99
0.0,78.68
0.0,99.99
0.8,38.38
1.0,99.99
0.0,99.99
0.0,58.81
0.0,98.54
0.0,77.54
0.0,99.99
1.0,75.37
0.0,99.99
1.0,85.22
0.0,96.93
1.0,99.84
0.0,99.99
1.0,88.22
0.0,97.13
1.0,99.99
0.0,82.52
0.9,84.96
14.3,99.99
35.0,54.46
33.0,56.57
33.7,55.90
35.0,56.35
27.0,65.69
32.0,56.22
35.0,55.27
33.0,54.98
29.0,63.09
35.6,51.93
34.0,53.06
35.0,56.81
35.0,53.64
36.0,53.45
35.0,55.45
35.6,50.84
37.0,51.54
36.0,52.86
35.0,51.14
35.0,52.85
38.0,50.07
36.6,50.24
36.0,52.73
36.0,53.28
38.0,51.64
37.0,51.08
36.6,48.59
37.0,51.50
40.0,49.81
38.0,49.50
38.0,50.65
34.7,53.24
36.0,54.39
35.0,55.79
34.0,55.94
31.0,58.51
35.0,53.97
35.6,54.00
34.0,55.36
34.0,55.69
33.0,57.42
33.0,54.83
36.0,51.94
33.7,53.91
35.0,54.44
34.0,56.05
32.0,58.01
36.0,53.34
34.0,56.53
34.0,55.58
33.7,56.52
34.0,54.89
33.0,56.71
26.0,65.17
32.0,56.00
33.7,55.42
37.0,53.36
34.0,53.54
35.0,55.31
32.0,57.32
32.0,58.97
35.0,55.79
34.0,55.83
31.7,57.03
32.0,58.08
32.0,56.40
36.0,54.44
34.0,55.37
36.0,52.59
33.7,55.76
35.0,56.42
32.0,57.07
30.0,49.64
29.0,72.32
32.0,55.98
33.0,58.33
32.7,55.85
33.0,57.65
33.0,55.19
35.0,53.29
31.0,57.29
33.0,56.20
32.7,56.86
33.0,55.10
33.0,53.73
30.0,59.57
34.0,56.71
33.0,56.17
33.7,56.62
36.0,52.39
33.0,56.42
35.0,55.74
35.0,54.41
35.0,54.54
34.7,52.11
35.0,54.93
33.0,56.90
35.0,53.20
36.0,54.46
34.0,54.33
35.0,54.75
26.7,65.19
34.0,54.13
36.0,53.70
35.0,54.77
34.0,56.10
36.0,53.03
35.0,53.86
32.7,57.16
35.0,54.97
27.0,64.69
27.0,64.63
26.0,65.68
27.0,66.37
32.7,54.26
37.0,52.28
33.0,55.64
31.0,61.00
33.0,56.53
37.0,53.23
33.0,54.41
31.7,57.99
34.0,56.22
33.0,56.24
36.0,54.09
37.0,51.22
