Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.93122009569378
MCD,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9545454545454546
LOF,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9461722488038278
KNN,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9342105263157895
IForest,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.94377990430622
LODA,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9413875598086124
