Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8702153110047847
MCD,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.992822966507177
LOF,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9712918660287082
KNN,0.42857142857142855,0.4090909090909091,0.4186046511627907,0.722488038277512
IForest,0.7619047619047619,0.7272727272727273,0.7441860465116279,0.9389952153110048
LODA,0.7619047619047619,0.7272727272727273,0.7441860465116279,0.9330143540669856
