Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.9300239234449761
MCD,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9892344497607656
LOF,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9892344497607655
KNN,0.75,0.6818181818181818,0.7142857142857143,0.7356459330143541
IForest,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9880382775119616
LODA,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9880382775119616
