Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.7206937799043063
MCD,1.0,1.0,1.0,1.0
LOF,0.23809523809523808,0.22727272727272727,0.23255813953488372,0.5382775119617225
KNN,0.42857142857142855,0.4090909090909091,0.4186046511627907,0.5119617224880383
IForest,0.45,0.4090909090909091,0.4285714285714286,0.44138755980861244
LODA,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4437799043062201
