Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.2,0.09090909090909091,0.12500000000000003,0.7517942583732058
MCD,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.7960526315789475
LOF,0.16666666666666666,0.13636363636363635,0.15,0.6076555023923446
KNN,0.11764705882352941,0.09090909090909091,0.10256410256410256,0.40909090909090906
IForest,0.5263157894736842,0.45454545454545453,0.4878048780487805,0.6537081339712919
LODA,0.47619047619047616,0.45454545454545453,0.46511627906976744,0.6800239234449761
