Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.8,0.5454545454545454,0.6486486486486486,0.791866028708134
MCD,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9988038277511961
LOF,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.5454545454545455
KNN,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.638755980861244
IForest,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.631578947368421
LODA,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.7188995215311005
