Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.8095238095238095,0.7727272727272727,0.7906976744186046,0.8744019138755981
MCD,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9754784688995215
LOF,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9300239234449761
KNN,0.6666666666666666,0.2727272727272727,0.3870967741935484,0.4629186602870814
IForest,0.6666666666666666,0.5454545454545454,0.6,0.8869617224880383
LODA,0.6666666666666666,0.5454545454545454,0.6,0.8833732057416268
