Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.9047619047619048,0.8636363636363636,0.8837209302325582,0.9473684210526316
MCD,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9611244019138756
LOF,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9635167464114833
KNN,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9611244019138757
IForest,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9539473684210527
LODA,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9539473684210527
