Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.9,0.8181818181818182,0.8571428571428572,0.9545454545454545
MCD,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9114832535885168
LOF,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8863636363636364
KNN,0.7692307692307693,0.45454545454545453,0.5714285714285714,0.7691387559808612
IForest,0.7142857142857143,0.6818181818181818,0.6976744186046512,0.8779904306220095
LODA,0.7142857142857143,0.6818181818181818,0.6976744186046512,0.8648325358851675
