Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9491626794258372
MCD,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9569377990430622
LOF,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9557416267942583
KNN,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9599282296650719
IForest,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9533492822966507
LODA,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9533492822966507
