Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8959330143540669
MCD,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9677033492822966
LOF,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9677033492822967
KNN,0.7647058823529411,0.5909090909090909,0.6666666666666667,0.8881578947368421
IForest,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9593301435406698
LODA,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9593301435406698
