Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.8,0.7272727272727273,0.761904761904762,0.8767942583732058
MCD,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9605263157894738
LOF,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9413875598086126
KNN,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6549043062200957
IForest,0.7777777777777778,0.6363636363636364,0.7000000000000001,0.9354066985645932
LODA,0.7368421052631579,0.6363636363636364,0.6829268292682926,0.9342105263157894
