Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.9025119617224879
MCD,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9874401913875599
LOF,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.986244019138756
KNN,0.8,0.5454545454545454,0.6486486486486486,0.7368421052631579
IForest,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9814593301435406
LODA,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.980263157894737
