Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.7625598086124402
MCD,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9988038277511962
LOF,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.9090909090909091
KNN,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.9826555023923446
IForest,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9605263157894737
LODA,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9282296650717704
