Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.9047619047619048,0.8636363636363636,0.8837209302325582,0.9431818181818182
MCD,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9581339712918662
LOF,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9653110047846891
KNN,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9814593301435407
IForest,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9617224880382775
LODA,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.965311004784689
