Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.8594497607655502
MCD,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.980263157894737
LOF,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9802631578947368
KNN,0.6190476190476191,0.5909090909090909,0.6046511627906977,0.7284688995215312
IForest,0.8125,0.5909090909090909,0.6842105263157896,0.9611244019138756
LODA,0.8125,0.5909090909090909,0.6842105263157896,0.9587320574162679
