Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.9449760765550239
MCD,1.0,0.9545454545454546,0.9767441860465117,0.9766746411483255
LOF,1.0,0.9545454545454546,0.9767441860465117,0.9730861244019139
KNN,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.7374401913875597
IForest,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9706937799043063
LODA,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9706937799043063
