Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.8427033492822966
MCD,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9892344497607656
LOF,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.950956937799043
KNN,0.47368421052631576,0.4090909090909091,0.43902439024390244,0.6172248803827751
IForest,0.8125,0.5909090909090909,0.6842105263157896,0.9521531100478469
LODA,0.8666666666666667,0.5909090909090909,0.7027027027027029,0.9617224880382775
