Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.972488038277512
MCD,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.9874401913875598
LOF,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9850478468899522
KNN,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.7422248803827751
IForest,0.8333333333333334,0.6818181818181818,0.7499999999999999,0.9575358851674642
LODA,0.7894736842105263,0.6818181818181818,0.7317073170731707,0.9503588516746412
