Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9497607655502392
MCD,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9485645933014355
LOF,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9473684210526316
KNN,0.9047619047619048,0.8636363636363636,0.8837209302325582,0.9533492822966507
IForest,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9533492822966507
LODA,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9473684210526315
