Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9742822966507177
MCD,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9832535885167464
LOF,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9808612440191388
KNN,0.8461538461538461,0.5,0.6285714285714286,0.8462918660287081
IForest,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.9533492822966506
LODA,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.965311004784689
