Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9563397129186604
MCD,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9569377990430623
LOF,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9593301435406699
KNN,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9569377990430622
IForest,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9569377990430622
LODA,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9569377990430622
