Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.7619047619047619,0.7272727272727273,0.7441860465116279,0.882177033492823
MCD,0.35294117647058826,0.2727272727272727,0.30769230769230765,0.694976076555024
LOF,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.6483253588516746
KNN,0.2857142857142857,0.2727272727272727,0.2790697674418604,0.37559808612440193
IForest,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.8145933014354068
LODA,0.7142857142857143,0.6818181818181818,0.6976744186046512,0.8050239234449761
