Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.25,0.18181818181818182,0.2105263157894737,0.5771531100478469
MCD,0.5714285714285714,0.5454545454545454,0.5581395348837208,0.7440191387559808
LOF,0.21052631578947367,0.18181818181818182,0.1951219512195122,0.5155502392344498
KNN,0.21052631578947367,0.18181818181818182,0.1951219512195122,0.39892344497607657
IForest,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.4401913875598086
LODA,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.3767942583732058
