Algorithm,Precision,Recall,F1 Score,AUC
ECOD,0.65,0.5909090909090909,0.6190476190476191,0.8714114832535885
MCD,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9934210526315789
LOF,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.993421052631579
KNN,0.6428571428571429,0.4090909090909091,0.5000000000000001,0.7906698564593302
IForest,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9850478468899522
LODA,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.9706937799043063
